posX,posY,posZ
0.583563,-1.633853,0.447696
0.586177,-1.642609,0.449774
0.588779,-1.651372,0.451824
0.591390,-1.660183,0.453819
0.594042,-1.669048,0.455895
0.596718,-1.677977,0.458093
0.599447,-1.686945,0.460413
0.602236,-1.695934,0.462826
0.604995,-1.704981,0.465291
0.607729,-1.714094,0.467780
0.610466,-1.723223,0.470325
0.613178,-1.732337,0.473088
0.615890,-1.741476,0.475988
0.618620,-1.750704,0.478830
0.621358,-1.760012,0.481669
0.624111,-1.769355,0.484562
0.626900,-1.778702,0.487486
0.629724,-1.788020,0.490461
0.632572,-1.797373,0.493507
0.635470,-1.806788,0.496543
0.638380,-1.816226,0.499540
0.641235,-1.825663,0.502548
0.644073,-1.835075,0.505621
0.646925,-1.844545,0.508739
0.649737,-1.854073,0.511827
0.652514,-1.863589,0.514935
0.655311,-1.873117,0.518142
0.658143,-1.882703,0.521379
0.661014,-1.892322,0.524582
0.663870,-1.901965,0.527833
0.666707,-1.911654,0.531167
0.669553,-1.921346,0.534432
0.672378,-1.931012,0.537604
0.675181,-1.940697,0.540752
0.677993,-1.950402,0.543827
0.680850,-1.960085,0.546828
0.683709,-1.969773,0.549852
0.686559,-1.979481,0.552947
0.689417,-1.989200,0.556054
0.692267,-1.998962,0.559137
0.695154,-2.008788,0.562205
0.698051,-2.018667,0.565284
0.700905,-2.028574,0.568357
0.703806,-2.038539,0.571480
0.706707,-2.048573,0.574687
0.709533,-2.058643,0.577926
0.712338,-2.068764,0.581144
0.715118,-2.078949,0.584286
0.717860,-2.089150,0.587437
0.720627,-2.099398,0.590695
0.723470,-2.109749,0.594030
0.726380,-2.120142,0.597430
0.729320,-2.130566,0.600874
0.732233,-2.141002,0.604303
0.735107,-2.151391,0.607644
0.738016,-2.161741,0.610963
0.741018,-2.172056,0.614318
0.744088,-2.182315,0.617714
0.747197,-2.192550,0.621081
0.750314,-2.202836,0.624382
0.753488,-2.213174,0.627718
0.756760,-2.223539,0.631051
0.760059,-2.233976,0.634301
0.763378,-2.244513,0.637519
0.766784,-2.255104,0.640792
0.770285,-2.265723,0.644097
0.773870,-2.276372,0.647423
0.777544,-2.287063,0.650727
0.781278,-2.297787,0.653967
0.785011,-2.308495,0.657164
0.788753,-2.319163,0.660334
0.792524,-2.329821,0.663485
0.796301,-2.340499,0.666619
0.800069,-2.351187,0.669750
0.803887,-2.361885,0.672865
0.807759,-2.372601,0.675958
0.811660,-2.383366,0.678993
0.815627,-2.394184,0.681968
0.819632,-2.405015,0.684950
0.823640,-2.415913,0.688007
0.827624,-2.426874,0.691147
0.831574,-2.437865,0.694333
0.835525,-2.448872,0.697621
0.839483,-2.459849,0.701005
0.843453,-2.470794,0.704374
0.847456,-2.481754,0.707781
0.851495,-2.492730,0.711222
0.855545,-2.503703,0.714602
0.859573,-2.514725,0.717891
0.863554,-2.525804,0.721109
0.867510,-2.536955,0.724383
0.871523,-2.548199,0.727752
0.875583,-2.559519,0.731128
0.879613,-2.570869,0.734466
0.883594,-2.582208,0.737817
0.887564,-2.593541,0.741203
0.891581,-2.604902,0.744612
0.895621,-2.616332,0.748105
0.899655,-2.627813,0.751702
0.903704,-2.639298,0.755407
0.907707,-2.650771,0.759252
0.911674,-2.662224,0.763177
0.915644,-2.673671,0.767106
0.919638,-2.685122,0.771063
0.923720,-2.696570,0.775093
0.927854,-2.708028,0.779128
0.931987,-2.719510,0.783107
0.936143,-2.731028,0.787079
0.940377,-2.742520,0.791075
0.944701,-2.753974,0.795133
0.949069,-2.765440,0.799312
0.953505,-2.776918,0.803558
0.958037,-2.788442,0.807772
0.962625,-2.800003,0.811960
0.967231,-2.811575,0.816221
0.971855,-2.823157,0.820569
0.976508,-2.834737,0.824991
0.981194,-2.846332,0.829503
0.985969,-2.857991,0.834045
0.990866,-2.869718,0.838479
0.995832,-2.881483,0.842859
1.000825,-2.893304,0.847252
1.005868,-2.905207,0.851541
1.010961,-2.917149,0.855759
1.016114,-2.929110,0.859977
1.021360,-2.941128,0.864232
1.026656,-2.953239,0.868518
1.031991,-2.965392,0.872774
1.037322,-2.977529,0.876980
1.042629,-2.989650,0.881136
1.047956,-3.001805,0.885277
1.053280,-3.013997,0.889445
1.058616,-3.026218,0.893652
1.063937,-3.038465,0.897860
1.069218,-3.050717,0.902086
1.074519,-3.063040,0.906351
1.079833,-3.075425,0.910569
1.085110,-3.087865,0.914802
1.090363,-3.100323,0.919104
1.095612,-3.112769,0.923419
1.100912,-3.125223,0.927732
1.106227,-3.137724,0.932065
1.111562,-3.150253,0.936493
1.116939,-3.162797,0.940980
1.122267,-3.175405,0.945462
1.127529,-3.188052,0.949920
1.132758,-3.200715,0.954361
1.138020,-3.213375,0.958805
1.143308,-3.226080,0.963273
1.148575,-3.238884,0.967763
1.153841,-3.251723,0.972232
1.159119,-3.264594,0.976702
1.164433,-3.277562,0.981205
1.169794,-3.290623,0.985735
1.175182,-3.303747,0.990242
1.180560,-3.316868,0.994716
1.185947,-3.329958,0.999214
1.191412,-3.343101,1.003682
1.196888,-3.356323,1.008165
1.202342,-3.369573,1.012772
1.207773,-3.382861,1.017477
1.213173,-3.396190,1.022312
1.218591,-3.409536,1.027242
1.224017,-3.422946,1.032175
1.229428,-3.436488,1.037121
1.234869,-3.450129,1.042150
1.240363,-3.463858,1.047273
1.245854,-3.477656,1.052407
1.251335,-3.491520,1.057521
1.256813,-3.505448,1.062683
1.262300,-3.519427,1.067862
1.267774,-3.533454,1.073030
1.273248,-3.547530,1.078251
1.278818,-3.561654,1.083472
1.284438,-3.575796,1.088729
1.290078,-3.589939,1.094121
1.295743,-3.604091,1.099587
1.301412,-3.618268,1.105029
1.307058,-3.632490,1.110455
1.312661,-3.646746,1.115914
1.318240,-3.661023,1.121355
1.323839,-3.675321,1.126789
1.329492,-3.689620,1.132168
1.335145,-3.703958,1.137490
1.340800,-3.718321,1.142793
1.346500,-3.732702,1.148051
1.352215,-3.747150,1.153292
1.357944,-3.761688,1.158470
1.363702,-3.776256,1.163635
1.369487,-3.790773,1.168841
1.375338,-3.805256,1.174075
1.381245,-3.819718,1.179374
1.387185,-3.834180,1.184749
1.393178,-3.848652,1.190171
